States,abbrv,State Rank,State Score,State Rating,SDG01, SDG01_color, SDG01_RANK, SDG02, SDG02_color, SDG02_RANK, SDG03, SDG03_color, SDG03_RANK, SDG04, SDG04_color, SDG04_RANK, SDG05, SDG05_color, SDG05_RANK, SDG06, SDG06_color, SDG06_RANK, SDG07, SDG07_color, SDG07_RANK, SDG08, SDG08_color, SDG08_RANK, SDG09, SDG09_color, SDG09_RANK, SDG10, SDG10_color, SDG010_RANK, SDG11, SDG11_color, SDG11_RANK, SDG12, SDG12_color, SDG012_RANK, SDG13, SDG13_color, SDG013_RANK, SDG15, SDG15_color, SDG015_RANK, SDG16, SDG16_color, SDG016_RANK,01.01_affordablehousing,01.01_affordablehousing_RATING,01.02_doccost,01.02_doccost_RATING,01.03_famleave,01.03_famleave_RATING,01.04_perpovline,01.04_perpovline_RATING,01.05_sickleave,01.05_sickleave_RATING,01.06_TANFpov,01.06_TANFpov_RATING,01.07_workingpoor,01.07_workingpoor_RATING,02.01_elderfood,02.01_elderfood_RATING,02.02_fooddesert,02.02_fooddesert_RATING,02.03_foodinsc,02.03_foodinsc_RATING,02.04_obesity,02.04_obesity_RATING,02.05_pesticide,02.05_pesticide_RATING,02.06_ruralinfra,02.06_ruralinfra_RATING,02.07_WICcoverage,02.07_WICcoverage_RATING,03.01_fertilityrate,03.01_fertilityrate_RATING,03.02_HIVrate,03.02_HIVrate_RATING,03.03_hpsa,03.03_hpsa_RATING,03.04_infantmort,03.04_infantmort_RATING,03.05_lifeexp,03.05_lifeexp_RATING,03.06_matmort,03.06_matmort_RATING,03.07_NCD,03.07_NCD_RATING,03.08_overdose,03.08_overdose_RATING,03.09_SmokingRate,03.09_SmokingRate_RATING,03.10_suicide,03.10_suicide_RATING,03.11_TB,03.11_TB_RATING,03.12_trafficdeath,03.12_trafficdeath_RATING,03.13_vaxcombo,03.13_vaxcombo_RATING,03.14_wellbeing,03.14_wellbeing_RATING,04.01_bachelors,04.01_bachelors_RATING,04.02_collegedebt,04.02_collegedebt_RATING,04.03_CTE,04.03_CTE_RATING,04.04_hsgradrate,04.04_hsgradrate_RATING,04.05_preschool,04.05_preschool_RATING,04.06_BasicReading,04.06_BasicReading_RATING,05.01_contradesertpov,05.01_contradesertpov_RATING,05.02_fem_laborforce,05.02_fem_laborforce_RATING,05.03_hatecrimelaw,05.03_hatecrimelaw_RATING,05.04_pergovwomen,05.04_pergovwomen_RATING,05.05_sexualviolence,05.05_sexualviolence_RATING,05.06_wagegap,05.06_wagegap_RATING,05.07_wbusiness,05.07_wbusiness_RATING,06.01_DamSafety,06.01_DamSafety_RATING,06.02_IncompletePlumbing,06.02_IncompletePlumbing_RATING,06.03_waterstress,06.03_waterstress_RATING,06.04_WaterViolations,06.04_WaterViolations_RATING,07.01_co2intensity_mt,07.01_co2intensity_mt_RATING,07.02_EnergyBurden,07.02_EnergyBurden_RATING,07.03_EnergyEfficiency,07.03_EnergyEfficiency_RATING,07.04_RenewableConsum,07.04_RenewableConsum_RATING,07.05_RenewableProduction,07.05_RenewableProduction_RATING,08.01_banking,08.01_banking_RATING,08.02_employdiscrim,08.02_employdiscrim_RATING,08.03_employment,08.03_employment_RATING,08.04_neets,08.04_neets_RATING,08.05_realGDPgrowth,08.05_realGDPgrowth_RATING,08.06_unbanked,08.06_unbanked_RATING,08.07_unemployment,08.07_unemployment_RATING,08.08_workfatality,08.08_workfatality_RATING,09.01_article_output,09.01_article_output_RATING,09.02_broadband,09.02_broadband_RATING,09.03_DeficientBridges,09.03_DeficientBridges_RATING,09.04_internetuse,09.04_internetuse_RATING,09.05_Patents,09.05_Patents_RATING,09.06_PoorRoads,09.06_PoorRoads_RATING,09.07_RDperGDP,09.07_RDperGDP_RATING,09.08_STEMjobs,09.08_STEMjobs_RATING,10.01_disabilitysupport,10.01_disabilitysupport_RATING,10.02_gini,10.02_gini_RATING,10.03_hateconcen,10.03_hateconcen_RATING,10.04_PollutionBurden,10.04_PollutionBurden_RATING,10.05_racismindex,10.05_racismindex_RATING,10.06_uninsured,10.06_uninsured_RATING,11.01_Commute,11.01_Commute_RATING,11.02_Overcrowding,11.02_Overcrowding_RATING,11.03_ParkAccess,11.03_ParkAccess_RATING,11.04_pm25,11.04_pm25_RATING,11.05_rentgrapi,11.05_rentgrapi_RATING,12.01_ChemicalPollution,12.01_ChemicalPollution_RATING,12.02_Leadcapita,12.02_Leadcapita_RATING,12.03_NOcapita,12.03_NOcapita_RATING,12.04_RecyclingIndex,12.04_RecyclingIndex_RATING,12.05_SO2capita,12.05_SO2capita_RATING,12.06_VOCcapita,12.06_VOCcapita_RATING,13.01_BuildingCodes,13.01_BuildingCodes_RATING,13.02_ClimAlliance,13.02_ClimAlliance_RATING,13.03_ClimateAware,13.03_ClimateAware_RATING,13.04_ClimatePlan,13.04_ClimatePlan_RATING,13.05_co2_capita,13.05_co2_capita_RATING,13.06_co2price,13.06_co2price_RATING,13.07_FEMAcoverage,13.07_FEMAcoverage_RATING,13.08_weathercosts,13.08_weathercosts_RATING,13.09_weatherinjury,13.09_weatherinjury_RATING,15.01_forest_change,15.01_forest_change_RATING,15.02_InvasiveManagement,15.02_InvasiveManagement_RATING,15.03_noncarbonfootprint,15.03_noncarbonfootprint_RATING,15.04_ProtectedArea,15.04_ProtectedArea_RATING,16.01_IncarcerationRate,16.01_IncarcerationRate_RATING,16.02_integrity,16.02_integrity_RATING,16.03_JailAdmission,16.03_JailAdmission_RATING,16.04_JusticeIndex,16.04_JusticeIndex_RATING,16.05_LegalClimate,16.05_LegalClimate_RATING,16.06_murderrate,16.06_murderrate_RATING,16.07_voting,16.07_voting_RATING
Alabama,AL,47,34.2,0,14.9,0,42,22.3,0,45,33.9,0,45,42.6,1,32,21.2,1,42,60.0,2,42,29.0,1,39,23.6,0,47,38.7,1,38,33.2,0,41,28.8,0,48,55.7,0,44,33.1,0,46,54.4,1,31,22.3,0,44,61,2,16.4,0,0,0,17.1,0,0,0,10.2,0,3.9,0,12.8,0,19.8,1,18.1,0,35.6,0,39.9,1,65.9,2,53.5,1,28.4,0,302.4,1,57.6,1,8.9,0,75.4,0,0.40,0,547.8,0,15.7,2,21.5,1,14.4,2,2.5,1,19.3,0,82.1,1,60.8,1,26.3,0,50,3,72.7,1,87.1,2,43.0,1,71.5,1,100.0,0,94.2,1,2,1,15.0,0,34.0,1,74.4,1,40.3,2,15.5,0,0.35,3,0.069,3,11.7,2,0.405,2,49,0,10.7,1,14.2,2,19.7,1,4.2,2,69.3,0,66.4,0,15.1,0,0.83,1,12.5,0,6.6,1,5.5,1,784.6,1,55.9,0,7.6,2,77.7,1,7.0,0,2,3,2.1,1,5.2,1,71.6,2,0.485,0,0.56,0,2.2,1,41.2,2,9.1,1,1.6,0,1.6,2,23,0,8.9,1,49.1,1,1628.3,0,0.0034,1,62.0,0,1,0,37.8,0,76.0,1,62,2,0,0,63.5,0,0,0,24.7,0,0.0,0,65.5,0,0.0097,3,0.96,2,1.1,1,0.66,2,34.5,2,1.8,0,1149.4,0,67,1,5667.5,0,27.8,0,61.1,0,8.4,0,57.4,1
Alaska,AK,43,38.9,0,27.2,0,19,32.1,1,38,45.8,1,37,30.3,0,48,28.7,1,29,44.3,0,50,19.5,0,46,39.1,1,41,29.9,0,43,48.1,2,9,39.6,2,26,23.3,0,49,52.4,0,26,91.8,3,1,31.3,1,31,32,0,13.0,1,0,0,9.9,3,0,0,26.8,0,1.8,3,7.6,1,30.3,0,12.7,1,31.4,1,25.9,2,43.7,1,44.3,0,25.8,1,109.3,2,29.1,0,5.6,1,78.1,1,0.19,3,378.8,2,16.0,2,19.0,1,23.0,0,7.0,0,10.0,2,75.8,0,61.6,2,27.6,1,49,3,71.5,1,76.1,0,35.8,1,70.8,0,86.2,0,93.8,1,2,1,31.7,2,44.6,0,84.2,2,38.5,1,85.7,3,4.06,0,NA,4,26.6,1,0.546,1,33,0,12.4,0,3.5,0,1.3,0,3.3,1,12.8,2,71.1,1,15.0,0,-2.60,0,3.5,2,6.5,1,5.9,1,511.3,0,69.4,2,9.7,1,77.6,1,4.0,0,21,1,0.6,0,6.5,2,68.2,1,0.408,1,0.00,3,1.2,2,40.8,2,14.0,0,10.3,3,6.8,0,63,3,8.7,1,41.9,1,1461.4,1,0.0239,0,180.2,0,1,0,27.1,0,685.8,0,53,1,0,0,69.6,2,1,3,49.0,0,0.0,0,86.0,2,0.0228,3,0.65,2,0.1,1,1.00,3,1.2,3,35.2,3,NA,4,76,1,NA,4,33.6,1,73.8,3,7.0,0,61.3,1
Arizona,AZ,29,45.9,1,25.1,0,22,37.5,1,29,54.9,1,26,30.4,0,47,37.2,0,17,62.1,2,39,42.3,1,23,38.0,1,42,59.8,2,9,48.3,2,7,33.4,0,37,70.8,1,29,58.1,0,20,57.8,2,25,32.5,0,30,26,0,13.6,1,0,0,16.4,1,1,3,6.2,0,3.9,0,10.8,0,18.4,1,14.6,1,28.9,2,29.5,2,55.7,1,51.1,1,23.6,1,270.0,2,45.1,0,6.1,1,79.5,2,0.23,2,361.9,2,19.0,1,14.7,2,17.8,1,2.7,1,12.4,1,76.0,0,62.2,2,27.1,0,49,3,47.9,0,79.5,0,39.6,1,73.9,1,99.9,0,92.9,0,3,2,40.0,3,41.3,0,81.8,2,42.7,2,87.7,3,0.66,2,0.080,3,36.0,1,0.409,2,34,0,5.5,2,10.2,1,20.8,1,2.6,0,33.5,1,69.8,1,14.8,0,1.92,2,8.5,1,6.5,1,3.9,2,1135.9,3,67.9,2,2.6,3,80.0,2,19.4,2,15,2,2.4,2,6.7,2,85.5,3,0.471,0,0.26,2,1.6,2,34.8,2,10.0,1,5.0,0,4.6,0,64,3,9.7,1,47.8,1,748.8,1,0.0035,1,29.8,2,1,0,6.2,2,32.3,2,53,1,0,0,68.8,2,1,3,13.4,0,0.0,0,95.6,3,0.0167,3,0.58,2,1.3,1,1.00,3,490.9,0,10.0,2,1276.0,0,64,1,4553.0,0,38.1,1,69.8,2,5.5,0,60.4,1
Arkansas,AR,46,34.9,0,13.5,0,44,19.9,0,47,30.1,0,48,38.3,0,36,19.7,0,45,69.4,2,28,23.5,1,43,34.9,0,44,20.1,0,49,34.3,0,40,31.8,0,41,58.6,0,41,33.6,0,43,78.3,3,4,17.8,0,48,50,1,15.3,0,0,0,17.2,0,0,0,4.8,0,3.7,1,9.2,0,19.7,1,17.5,0,36.0,0,44.6,0,50.0,1,48.0,0,34.6,0,214.8,2,62.6,1,7.5,0,75.8,0,0.50,0,566.0,0,13.8,2,23.6,1,17.2,1,2.8,1,15.6,0,79.9,1,59.4,0,24.8,0,56,2,70.8,1,87.0,2,51.0,2,70.1,0,85.6,0,94.7,2,1,0,19.3,0,37.5,1,78.3,1,38.1,1,69.1,1,0.50,2,0.086,3,17.1,2,0.524,1,50,0,9.8,1,11.5,1,8.3,1,5.1,2,49.3,0,68.3,0,15.1,0,1.35,1,9.7,0,5.5,2,7.5,0,474.0,0,49.1,0,6.3,2,76.8,1,7.1,0,24,1,0.5,0,4.1,0,55.6,0,0.472,0,0.54,0,1.2,2,41.3,2,7.9,2,2.3,0,3.1,1,22,0,7.2,2,44.5,1,588.2,2,0.0053,0,64.8,0,1,0,27.9,0,87.1,1,91,3,0,0,64.1,0,1,3,19.9,0,0.0,0,43.9,0,0.0799,2,7.63,0,1.5,2,1.00,3,19.4,3,8.4,2,1219.1,0,61,1,15846.6,0,36.9,1,67.2,1,7.2,0,58.7,1
California,CA,6,55.6,2,54.0,2,4,50.7,2,11,66.0,2,13,46.9,1,25,38.4,1,13,70.4,2,26,56.5,2,12,52.4,2,28,60.4,2,8,42.3,2,21,21.2,0,50,97.2,3,3,76.1,2,3,63.7,0,18,39.6,0,16,21,0,11.4,1,1,3,14.3,1,1,3,65.5,2,3.2,1,8.2,1,11.0,2,11.8,1,24.8,3,26.4,2,16.2,0,71.0,3,17.0,2,376.4,1,45.9,0,4.8,2,80.9,3,0.24,2,327.4,2,11.3,2,11.0,3,10.3,3,5.2,0,8.8,2,77.6,0,62.3,2,35.5,2,53,2,78.4,1,83.0,1,48.5,1,70.2,0,100.0,0,91.9,0,4,3,24.2,1,35.0,1,88.5,2,41.6,2,64.0,1,0.43,3,0.413,2,6.6,2,0.238,3,25,0,3.4,3,11.2,1,31.6,1,2.5,0,15.0,2,71.3,1,12.4,1,3.46,3,6.2,2,7.3,0,3.0,3,1003.6,3,72.3,2,5.5,2,77.9,1,43.7,3,50,0,5.0,3,7.3,2,81.0,3,0.490,0,0.20,2,2.1,1,56.8,1,7.3,2,9.0,2,8.4,0,65,3,11.7,0,55.4,0,225.2,2,0.0014,2,13.7,3,4,3,1.1,3,34.9,2,82,2,1,3,75.2,3,1,3,9.3,0,14.6,1,64.3,0,0.0263,3,0.23,3,-1.7,0,1.00,3,315.8,0,22.4,3,765.7,0,73,1,3805.9,0,50.0,2,60.0,0,4.9,0,57.9,1
Colorado,CO,15,52.2,2,24.3,0,24,56.6,2,2,65.8,2,14,58.5,2,4,43.4,2,5,85.4,3,2,33.3,0,35,65.0,2,13,51.6,2,16,34.6,0,37,50.5,2,6,75.1,2,24,55.4,0,24,39.0,1,44,45.0,0,8,27,0,12.0,1,0,0,11.0,2,0,0,26.3,0,2.4,2,3.8,3,17.3,1,10.3,1,22.0,3,23.7,3,64.7,2,41.0,0,17.8,2,253.6,2,38.4,0,5.6,1,80.2,3,0.20,3,301.4,3,15.4,2,15.6,2,19.0,0,1.5,2,9.0,2,83.5,2,62.9,3,40.4,3,53,2,97.4,3,78.9,0,48.9,1,78.3,2,94.6,0,93.3,1,4,3,38.0,2,36.2,1,84.3,2,40.6,2,96.2,3,0.31,3,0.130,3,9.0,2,0.661,1,32,0,5.2,2,8.6,1,3.7,0,3.6,1,36.0,1,76.0,2,10.7,2,3.30,3,4.4,2,4.8,2,4.0,2,900.9,2,73.6,3,5.7,2,75.4,0,17.4,2,21,1,2.1,1,8.7,3,76.4,2,0.459,0,0.29,2,3.8,0,55.5,1,7.5,2,7.4,1,2.7,2,74,3,6.6,2,52.3,0,312.6,2,0.0020,2,42.7,1,1,0,5.7,3,44.7,2,33,1,1,3,71.0,2,1,3,16.6,0,0.0,0,51.9,0,0.1693,0,0.54,2,0.3,1,0.33,1,113.8,0,9.7,2,856.9,0,67,1,5689.1,0,55.5,3,67.6,1,3.7,0,69.5,2
Connecticut,CT,10,54.8,2,45.4,0,7,44.8,1,18,67.5,2,10,63.1,2,2,35.6,1,20,68.8,2,31,45.4,2,20,56.5,2,21,54.1,2,12,34.3,0,39,40.3,1,25,97.6,3,1,69.9,2,10,51.4,0,34,47.7,2,6,36,0,9.9,2,0,0,9.8,3,1,3,23.5,0,1.4,3,6.0,2,28.8,0,12.3,1,25.4,3,25.4,2,63.1,2,43.1,0,9.4,3,338.7,1,0.2,0,5.5,1,80.8,3,0.28,2,302.7,3,22.1,1,13.3,3,9.6,3,1.8,2,7.7,2,85.5,2,61.7,2,43.4,3,60,1,78.5,1,87.4,2,65.8,2,81.9,3,100.0,0,95.8,2,4,3,27.3,1,37.4,1,79.4,1,36.2,1,81.9,2,0.27,3,0.023,3,40.1,0,0.235,3,35,0,3.3,3,5.4,1,13.3,1,4.5,2,7.1,3,75.9,2,9.7,2,-0.30,0,6.2,2,6.7,1,3.5,2,1084.9,3,75.1,3,8.0,2,78.1,1,28.5,3,57,0,3.9,3,6.8,2,69.2,2,0.495,0,0.14,2,3.5,0,63.9,0,4.9,3,8.1,2,1.8,2,41,1,8.6,1,51.3,0,356.0,2,0.0008,3,15.9,3,4,3,3.1,3,20.8,2,2,0,1,3,71.9,2,1,3,10.1,0,3.8,1,97.3,3,0.0009,3,0.08,3,5.6,3,1.00,3,390.0,0,1.9,0,NA,4,71,1,NA,4,59.8,3,71.8,2,2.2,2,63.9,1
Delaware,DE,26,46.6,1,28.2,0,17,48.6,2,13,49.5,1,33,47.0,2,24,38.5,2,12,49.7,2,47,51.4,0,15,57.8,2,18,53.6,2,14,43.9,1,15,39.0,1,29,70.6,0,30,64.6,2,13,28.3,0,49,28.4,0,34,33,0,11.3,1,0,0,11.7,2,0,0,37.9,1,2.0,2,5.5,2,18.5,1,10.8,1,30.2,1,30.5,2,77.0,3,51.7,1,19.5,2,404.9,1,31.9,0,7.7,0,78.6,2,0.40,0,397.2,2,22.0,1,17.7,1,12.5,2,1.6,2,10.1,2,86.0,3,60.7,1,32.5,1,63,1,87.4,2,85.5,2,50.5,2,73.4,1,100.0,0,96.4,3,4,3,21.0,1,33.6,1,82.0,2,38.5,1,61.9,1,0.28,3,0.575,2,61.2,0,0.498,1,40,0,4.6,2,2.8,0,100.0,3,4.5,2,17.6,2,72.4,1,11.3,2,1.57,2,4.8,2,5.9,1,4.4,2,891.7,2,73.2,2,4.9,2,73.1,0,14.1,1,16,2,4.2,3,7.4,3,74.1,2,0.452,0,0.42,1,2.3,1,38.5,2,5.7,2,5.3,1,1.7,2,53,2,9.1,1,49.9,1,1991.2,0,0.0011,2,26.9,2,1,0,4.2,3,20.4,2,30,0,1,3,70.7,2,1,3,14.2,0,3.8,1,78.7,1,0.0004,3,0.67,2,6.2,3,0.00,0,200.0,0,3.1,1,NA,4,56,0,NA,4,43.7,2,72.8,2,5.9,0,62.3,1
Florida,FL,33,43.8,1,12.4,0,45,51.2,2,10,49.2,1,35,47.6,2,21,39.2,1,10,52.9,2,45,43.1,1,22,45.4,1,35,51.0,2,18,37.4,0,31,35.7,0,35,71.8,2,28,61.7,0,17,29.8,0,48,28.0,0,35,27,0,16.6,0,0,0,14.7,1,0,0,12.2,0,3.4,1,6.8,2,19.7,1,12.0,1,27.1,2,25.3,2,76.6,3,51.4,1,19.3,2,615.2,0,21.8,0,6.6,0,79.6,2,0.40,0,383.7,2,16.2,2,15.5,2,14.1,2,2.6,1,14.1,1,82.9,2,62.4,2,29.0,1,52,2,89.1,2,80.7,1,50.5,2,75.0,1,99.1,0,94.3,1,3,2,26.3,1,32.9,1,86.8,2,42.7,2,28.9,0,0.28,3,0.132,3,37.2,1,0.462,2,36,0,5.4,2,7.1,1,43.2,2,3.4,1,36.9,1,70.7,1,13.1,1,2.77,3,5.9,2,7.2,0,4.6,2,1069.8,3,68.6,2,2.1,3,80.9,2,14.5,1,11,2,1.1,1,4.6,1,68.3,1,0.485,0,0.31,1,1.2,2,39.7,2,12.5,0,4.3,0,3.0,2,39,1,6.8,2,56.2,0,1192.7,1,0.0020,2,25.9,2,1,0,7.5,2,35.7,2,95,3,0,0,70.0,2,1,3,11.4,0,0.0,0,90.1,3,0.1695,0,0.49,3,-1.2,0,0.00,0,113.0,0,10.8,2,1171.2,0,61,1,5095.1,0,35.1,1,60.5,0,5.4,0,59.5,1
Georgia,GA,38,41.2,1,11.6,0,46,33.8,1,33,44.3,1,38,45.5,1,28,33.7,1,21,48.4,2,48,41.4,1,25,33.7,0,45,53.1,2,15,36.0,0,36,30.3,1,46,79.5,2,16,48.4,0,30,55.3,1,29,23.4,0,43,38,0,16.6,0,0,0,16.0,1,0,0,4.7,0,3.6,1,9.2,0,23.3,1,14.0,1,31.0,1,35.3,1,66.1,2,48.8,0,23.6,1,588.0,0,43.8,0,7.2,0,77.4,1,0.51,0,455.0,1,12.7,2,17.9,1,12.1,2,2.8,1,13.0,1,89.0,3,61.3,1,31.5,1,60,1,99.2,3,79.4,0,48.0,1,73.5,1,93.0,0,93.9,1,2,1,26.7,1,32.6,1,81.9,2,43.9,2,10.1,0,0.33,3,0.071,3,37.7,1,0.450,2,41,0,6.4,2,10.4,1,43.1,2,3.2,0,51.1,0,70.8,1,15.1,0,2.75,3,11.9,0,6.9,0,4.8,2,999.1,2,66.4,1,4.7,2,81.6,2,12.7,1,4,3,1.4,1,6.0,2,71.0,2,0.481,0,0.31,1,1.7,2,40.3,2,12.9,0,3.9,0,2.3,2,27,1,9.0,1,48.7,1,939.4,1,0.0013,2,31.3,1,2,1,9.2,2,30.5,2,76,2,0,0,67.7,1,0,0,13.4,0,0.0,0,95.9,3,0.0344,3,0.64,2,-0.5,0,1.00,3,65.9,1,4.3,1,1271.0,0,63,1,7677.2,0,31.4,1,64.1,1,6.6,0,60.2,1
Hawaii,HI,13,54.2,2,35.3,0,11,51.7,2,9,67.6,2,8,37.9,0,39,43.9,2,4,74.4,3,21,59.9,0,9,61.1,2,17,26.5,0,45,65.0,2,1,45.9,0,14,77.8,1,18,70.2,0,9,57.4,0,26,38.5,1,19,35,0,7.4,2,0,0,9.3,3,0,0,38.1,1,1.5,3,4.7,3,25.5,0,8.7,2,24.2,3,26.7,2,54.3,1,51.6,1,19.2,2,233.1,2,69.8,2,5.7,1,81.3,3,0.30,1,321.7,2,11.3,2,13.1,3,13.0,2,8.1,0,8.3,2,84.8,2,63.4,3,30.7,1,50,3,66.2,0,82.7,1,46.5,1,68.1,0,100.0,0,95.0,2,4,3,28.9,1,33.3,1,83.5,2,42.4,2,96.8,3,0.65,2,NA,4,4.9,3,0.728,0,19,0,3.9,3,10.2,1,100.0,3,3.2,0,20.4,2,72.7,1,10.9,2,1.84,2,2.4,3,4.7,2,3.9,2,685.6,1,73.4,3,5.7,2,76.3,0,6.0,0,39,0,0.8,1,4.3,0,81.2,3,0.442,1,0.00,3,1.3,2,28.5,2,3.5,3,12.2,3,9.1,0,83,3,5.9,3,55.6,0,458.1,2,0.0023,2,35.7,1,2,1,13.6,1,60.1,1,0,0,1,3,78.5,3,1,3,13.0,0,0.0,0,100.0,3,0.0001,3,0.46,3,-15.8,0,1.00,3,NA,4,12.5,2,NA,4,69,1,NA,4,62.2,3,70.0,2,2.5,1,47.3,0
Idaho,ID,18,50.6,2,15.2,0,41,41.9,1,20,62.6,2,17,37.5,0,40,20.6,0,44,73.0,3,24,70.3,2,5,67.6,2,12,54.1,2,13,34.5,0,38,46.0,2,13,71.8,1,27,43.9,0,35,81.2,2,2,38.7,1,17,34,0,14.1,1,0,0,14.4,1,0,0,7.1,0,3.4,1,4.7,3,19.1,1,12.1,1,27.2,2,42.8,0,62.7,2,47.6,0,20.1,2,79.2,3,48.4,0,5.6,1,79.1,2,0.34,1,337.5,2,14.2,2,14.5,2,19.7,0,0.5,3,13.1,1,82.7,2,62.8,3,26.3,0,66,0,95.2,3,79.7,0,33.8,0,81.1,2,92.0,0,90.8,0,2,1,30.5,2,40.5,0,75.9,1,39.0,1,96.5,3,0.55,2,0.260,3,19.7,2,0.117,3,31,0,8.9,1,27.4,3,100.0,3,4.5,2,5.5,3,72.9,1,12.1,1,2.83,3,3.6,2,4.8,2,4.7,2,627.0,1,62.0,1,9.2,2,83.9,3,26.3,3,15,2,3.4,2,6.0,2,59.4,1,0.450,0,0.71,0,0.7,2,36.1,2,10.1,1,4.6,0,2.7,2,52,2,5.9,3,45.9,1,559.6,2,0.0042,1,49.8,1,2,1,5.6,3,132.1,0,73,2,0,0,64.9,1,0,0,10.8,0,0.0,0,79.9,1,0.0794,2,0.48,3,0.7,1,1.00,3,34.1,2,13.8,3,1022.6,0,62,1,6257.8,0,36.5,1,75.0,3,2.9,1,62.1,1
